"DateTime";"XBOX";"PS";"PC"
"2019-09-19 00:00:00";1264622;900086;1174500
"2019-09-20 00:00:00";869288;895386;1046333
"2019-09-21 00:00:00";892671;964154;964500
"2019-09-22 00:00:00";919333;1051788;1283333
"2019-09-23 00:00:00";944520;1013275;1201250
"2019-09-24 00:00:00";936577;991427;1140000
"2019-09-25 00:00:00";928728;978802;1205000
"2019-09-26 00:00:00";941179;947267;1167000
"2019-09-27 00:00:00";935988;902927;1049500
"2019-09-28 00:00:00";902690;917621;1155667
"2019-09-29 00:00:00";897697;930163;1131667
"2019-09-30 00:00:00";879174;927644;1145500
"2019-10-01 00:00:00";887640;944655;1163750
"2019-10-02 00:00:00";906000;985590;1191000
"2019-10-03 00:00:00";944087;1002929;1185000
"2019-10-04 00:00:00";932143;999204;1207000
"2019-10-05 00:00:00";948500;1006250;1187857
"2019-10-06 00:00:00";974571;1029276;1203750
"2019-10-07 00:00:00";987667;1079133;1198857
"2019-10-08 00:00:00";1023870;1150487;1295500
"2019-10-09 00:00:00";1091545;1195333;1507571
"2019-10-10 00:00:00";1121364;1224927;1446750
"2019-10-11 00:00:00";1116772;1210547;1420310
"2019-10-12 00:00:00";1099244;1201734;1440886
"2019-10-13 00:00:00";1104875;1223047;1407472
"2019-10-14 00:00:00";1123810;1277541;1456393
"2019-10-15 00:00:00";1185607;1374440;1593971
"2019-10-16 00:00:00";1222559;1401966;1662219
"2019-10-17 00:00:00";1232419;1400217;1661527
"2019-10-18 00:00:00";1258543;1401149;1690222
"2019-10-19 00:00:00";1240857;1400687;1641925
"2019-10-20 00:00:00";1233463;1398679;1621889
"2019-10-21 00:00:00";1212286;1394291;1648860
"2019-10-22 00:00:00";1214116;1392026;1653818
"2019-10-23 00:00:00";1197585;1376039;1643805
"2019-10-24 00:00:00";1212308;1384742;1641583
"2019-10-25 00:00:00";1224425;1398189;1640250
"2019-10-26 00:00:00";1196538;1378800;1630400
"2019-10-27 00:00:00";1191275;1371431;1616903
"2019-10-28 00:00:00";1187872;1364969;1613692
"2019-10-29 00:00:00";1190051;1387230;1615762
"2019-10-30 00:00:00";1206306;1392182;1629587
"2019-10-31 00:00:00";1229222;1424470;1681057
"2019-11-01 00:00:00";1266684;1459821;1727083
"2019-11-02 00:00:00";1252167;1447184;1732690
"2019-11-03 00:00:00";1234265;1432766;1704744
"2019-11-04 00:00:00";1240579;1444463;1718863
"2019-11-05 00:00:00";1249595;1474920;1741745
"2019-11-06 00:00:00";1254703;1469306;1746167
"2019-11-07 00:00:00";1261514;1479791;1798286
"2019-11-08 00:00:00";1234500;1444324;1776923
"2019-11-09 00:00:00";1192941;1408614;1742538
"2019-11-10 00:00:00";1175818;1392741;1719065
"2019-11-11 00:00:00";1153730;1361774;1680429
"2019-11-12 00:00:00";1164306;1372782;1689340
"2019-11-13 00:00:00";1172711;1382034;1713830
"2019-11-14 00:00:00";1179257;1391282;1737108
"2019-11-15 00:00:00";1185909;1399408;1731536
"2019-11-16 00:00:00";1181969;1392030;1715045
"2019-11-17 00:00:00";1170138;1383500;1748083
"2019-11-18 00:00:00";1169914;1388359;1756810
"2019-11-19 00:00:00";1177059;1400951;1773170
"2019-11-20 00:00:00";1184121;1404940;1767778
