"DateTime";"Cross";"PC"
"2022-09-22 00:00:00";120667;0
"2022-09-23 00:00:00";141037;142143
"2022-09-24 00:00:00";173050;134167
"2022-09-25 00:00:00";217523;140786
"2022-09-26 00:00:00";252704;204372
"2022-09-27 00:00:00";286833;316313
"2022-09-28 00:00:00";295259;312378
"2022-09-29 00:00:00";289410;316500
"2022-09-30 00:00:00";255353;294355
"2022-10-01 00:00:00";262780;293893
"2022-10-02 00:00:00";271133;309143
"2022-10-03 00:00:00";287653;320000
"2022-10-04 00:00:00";294979;329650
"2022-10-05 00:00:00";295750;329389
"2022-10-06 00:00:00";303141;340350
"2022-10-07 00:00:00";290909;331550
"2022-10-08 00:00:00";295197;338000
"2022-10-09 00:00:00";299250;353667
"2022-10-10 00:00:00";306169;370882
"2022-10-11 00:00:00";302388;365926
"2022-10-12 00:00:00";292697;353833
"2022-10-13 00:00:00";281036;338267
"2022-10-14 00:00:00";278759;338455
"2022-10-15 00:00:00";263181;310925
"2022-10-16 00:00:00";261043;309867
"2022-10-17 00:00:00";264225;312233
"2022-10-18 00:00:00";266411;309638
"2022-10-19 00:00:00";257347;298962
"2022-10-20 00:00:00";245972;285169
"2022-10-21 00:00:00";248083;290099
"2022-10-22 00:00:00";248618;289927
"2022-10-23 00:00:00";249343;289333
"2022-10-24 00:00:00";248934;284959
"2022-10-25 00:00:00";255929;289283
"2022-10-26 00:00:00";259479;292163
"2022-10-27 00:00:00";254606;287776
"2022-10-28 00:00:00";246373;278500
"2022-10-29 00:00:00";204299;235966
"2022-10-30 00:00:00";191489;218714
"2022-10-31 00:00:00";192007;214804
"2022-11-01 00:00:00";196514;210393
"2022-11-02 00:00:00";193326;210742
"2022-11-03 00:00:00";188014;201532
"2022-11-04 00:00:00";182514;189569
"2022-11-05 00:00:00";164755;176250
"2022-11-06 00:00:00";161746;174855
"2022-11-07 00:00:00";159639;179849
"2022-11-08 00:00:00";162576;178576
"2022-11-09 00:00:00";139361;145791
"2022-11-10 00:00:00";132125;140239
"2022-11-11 00:00:00";127105;141627
"2022-11-12 00:00:00";106559;122317
"2022-11-13 00:00:00";107374;123321
"2022-11-14 00:00:00";99802;115702
"2022-11-15 00:00:00";92130;105027
"2022-11-16 00:00:00";98951;116500
"2022-11-17 00:00:00";103626;127080
"2022-11-18 00:00:00";105809;127808
"2022-11-19 00:00:00";103636;121489
"2022-11-20 00:00:00";105809;121326
"2022-11-21 00:00:00";103215;117630
"2022-11-22 00:00:00";105761;122698
"2022-11-23 00:00:00";91088;105408
"2022-11-24 00:00:00";78698;87778
"2022-11-25 00:00:00";71153;79367
"2022-11-26 00:00:00";62774;64982
"2022-11-27 00:00:00";67635;70172
"2022-11-28 00:00:00";63580;64538
"2022-11-29 00:00:00";65819;68260
"2022-11-30 00:00:00";67521;69619
"2022-12-01 00:00:00";67622;70136
"2022-12-02 00:00:00";66746;69773
"2022-12-03 00:00:00";63790;64816
"2022-12-04 00:00:00";67115;67673
"2022-12-05 00:00:00";66929;70287
"2022-12-06 00:00:00";68198;70615
"2022-12-07 00:00:00";68366;71098
"2022-12-08 00:00:00";68299;70519
"2022-12-09 00:00:00";68379;70806
"2022-12-10 00:00:00";64259;64833
"2022-12-11 00:00:00";63529;68206
"2022-12-12 00:00:00";64142;69609
"2022-12-13 00:00:00";67288;74069
"2022-12-14 00:00:00";73420;82068
"2022-12-15 00:00:00";73003;82551
"2022-12-16 00:00:00";74934;83022
"2022-12-17 00:00:00";75745;85263
"2022-12-18 00:00:00";80839;92162
"2022-12-19 00:00:00";82451;93663
"2022-12-20 00:00:00";81899;93560
"2022-12-21 00:00:00";77875;92185
"2022-12-22 00:00:00";79234;93067
"2022-12-23 00:00:00";78670;93925
"2022-12-24 00:00:00";72962;89356
"2022-12-25 00:00:00";78184;93563
"2022-12-26 00:00:00";89410;105940
"2022-12-27 00:00:00";90088;109317
"2022-12-28 00:00:00";88338;105378
"2022-12-29 00:00:00";91910;112000
"2022-12-30 00:00:00";96518;119465
"2022-12-31 00:00:00";99357;121000
"2023-01-01 00:00:00";98719;123759
"2023-01-02 00:00:00";86017;104484
"2023-01-03 00:00:00";88288;106775
"2023-01-04 00:00:00";87885;106521
"2023-01-05 00:00:00";88569;107756
"2023-01-06 00:00:00";80479;102413
"2023-01-07 00:00:00";71738;85132
"2023-01-08 00:00:00";74583;89813
"2023-01-09 00:00:00";74881;89571
"2023-01-10 00:00:00";72024;84613
"2023-01-11 00:00:00";72585;86261
"2023-01-12 00:00:00";71546;86331
"2023-01-13 00:00:00";71077;85724
"2023-01-14 00:00:00";71769;82622
"2023-01-15 00:00:00";71342;82676
"2023-01-16 00:00:00";69151;79221
"2023-01-17 00:00:00";69809;80395
"2023-01-18 00:00:00";70080;80476
"2023-01-19 00:00:00";71115;80735
"2023-01-20 00:00:00";74221;85500
"2023-01-21 00:00:00";74442;88029
"2023-01-22 00:00:00";73632;89167
"2023-01-23 00:00:00";68651;78117
"2023-01-24 00:00:00";71442;80964
"2023-01-25 00:00:00";72246;80500
"2023-01-26 00:00:00";72359;80722
"2023-01-27 00:00:00";71301;80096
"2023-01-28 00:00:00";74746;83350
"2023-01-29 00:00:00";74598;84880
"2023-01-30 00:00:00";71585;82375
