"DateTime";"XBOX";"PS";"PC"
"2019-09-19 00:00:00";2403683;2021655;2275000
"2019-09-20 00:00:00";1847126;1937247;2509667
"2019-09-21 00:00:00";1857185;2004061;2651333
"2019-09-22 00:00:00";1854168;2018963;2474667
"2019-09-23 00:00:00";1932755;2007879;2483333
"2019-09-24 00:00:00";1823990;1965349;2468333
"2019-09-25 00:00:00";1754851;1907222;2030000
"2019-09-26 00:00:00";1706096;1837793;2069500
"2019-09-27 00:00:00";1655773;1738803;1906500
"2019-09-28 00:00:00";1505800;1731452;2012667
"2019-09-29 00:00:00";1481531;1711818;1968333
"2019-09-30 00:00:00";1444542;1644354;1852800
"2019-10-01 00:00:00";1394148;1657125;1925833
"2019-10-02 00:00:00";1458731;1668056;1920800
"2019-10-03 00:00:00";1481409;1694950;1832667
"2019-10-04 00:00:00";1463800;1629721;1759250
"2019-10-05 00:00:00";1407889;1592724;1695667
"2019-10-06 00:00:00";1397077;1568480;1711750
"2019-10-07 00:00:00";1406417;1571360;1679600
"2019-10-08 00:00:00";1445053;1591030;1749167
"2019-10-09 00:00:00";1442268;1609268;1778226
"2019-10-10 00:00:00";1453514;1629375;1794700
"2019-10-11 00:00:00";1445481;1629247;1739022
"2019-10-12 00:00:00";1443268;1594746;1714163
"2019-10-13 00:00:00";1422375;1573413;1715326
"2019-10-14 00:00:00";1405486;1582500;1729949
"2019-10-15 00:00:00";1420140;1603859;1792854
"2019-10-16 00:00:00";1441000;1620064;1794021
"2019-10-17 00:00:00";1481070;1646526;1841875
"2019-10-18 00:00:00";1498775;1664562;1824512
"2019-10-19 00:00:00";1488128;1650403;1795162
"2019-10-20 00:00:00";1475541;1653114;1832600
"2019-10-21 00:00:00";1469744;1641811;1835579
"2019-10-22 00:00:00";1466950;1636611;1846514
"2019-10-23 00:00:00";1426737;1596878;1801902
"2019-10-24 00:00:00";1407406;1587474;1761000
"2019-10-25 00:00:00";1438219;1597359;1769931
"2019-10-26 00:00:00";1419588;1578757;1774286
"2019-10-27 00:00:00";1397575;1554750;1761138
"2019-10-28 00:00:00";1389108;1548500;1712529
"2019-10-29 00:00:00";1402405;1550641;1686724
"2019-10-30 00:00:00";1399306;1553879;1729069
"2019-10-31 00:00:00";1400848;1571241;1740667
"2019-11-01 00:00:00";1410622;1584984;1723543
"2019-11-02 00:00:00";1405972;1570516;1709118
"2019-11-03 00:00:00";1386486;1558154;1703257
"2019-11-04 00:00:00";1394263;1570686;1723216
"2019-11-05 00:00:00";1393389;1571514;1726189
"2019-11-06 00:00:00";1388912;1561225;1739375
"2019-11-07 00:00:00";1390912;1566119;1744321
"2019-11-08 00:00:00";1368257;1537062;1753700
"2019-11-09 00:00:00";1341529;1500017;1725355
"2019-11-10 00:00:00";1291364;1452515;1679067
"2019-11-11 00:00:00";1249405;1422929;1607531
"2019-11-12 00:00:00";1240057;1406026;1615107
"2019-11-13 00:00:00";1244657;1405691;1601857
"2019-11-14 00:00:00";1259806;1413824;1595645
"2019-11-15 00:00:00";1269500;1425676;1600846
"2019-11-16 00:00:00";1244935;1408953;1581762
"2019-11-17 00:00:00";1225414;1388391;1573737
"2019-11-18 00:00:00";1232200;1401761;1580706
"2019-11-19 00:00:00";1251647;1417384;1585800
"2019-11-20 00:00:00";1251563;1430232;1625333
"2019-11-21 00:00:00";1256519;1442292;1636909
"2019-11-22 00:00:00";1270650;1452303;1648000
"2019-11-23 00:00:00";1214875;1369985;1595414
"2019-11-24 00:00:00";1168900;1344288;1542710
"2019-11-25 00:00:00";1180217;1364188;1563875
"2019-11-26 00:00:00";1181053;1381400;1568577
"2019-11-27 00:00:00";1180882;1379186;1575087
"2019-11-28 00:00:00";1187667;1381645;1561630
"2019-11-29 00:00:00";1205333;1393538;1570719
"2019-11-30 00:00:00";1253435;1420016;1583852
"2019-12-01 00:00:00";1230739;1401942;1576455
"2019-12-02 00:00:00";1231593;1406727;1583865
"2019-12-03 00:00:00";1248867;1416058;1584513
"2019-12-04 00:00:00";1257323;1423877;1590857
"2019-12-05 00:00:00";1262296;1426246;1591333
"2019-12-06 00:00:00";1242100;1391806;1565867
"2019-12-07 00:00:00";1159933;1305229;1490941
"2019-12-08 00:00:00";1090595;1237413;1346652
"2019-12-09 00:00:00";1069945;1194354;1300420
"2019-12-10 00:00:00";1045907;1179563;1253852
"2019-12-11 00:00:00";1018429;1173026;1222522
"2019-12-12 00:00:00";1019935;1167933;1247175
"2019-12-13 00:00:00";1012131;1155902;1251750
"2019-12-14 00:00:00";966929;1084129;1211381
"2019-12-15 00:00:00";956362;1055488;1163784
"2019-12-16 00:00:00";945804;1031120;1115592
"2019-12-17 00:00:00";921603;1020793;1094630
"2019-12-18 00:00:00";916288;1020892;1099194
"2019-12-19 00:00:00";932229;1042171;1103256
"2019-12-20 00:00:00";940029;1044676;1138343
"2019-12-21 00:00:00";925298;1024114;1124541
"2019-12-22 00:00:00";902244;988972;1075095
"2019-12-23 00:00:00";885298;989836;1075081
"2019-12-24 00:00:00";879465;982056;1055140
"2019-12-25 00:00:00";856163;952606;1025485
"2019-12-26 00:00:00";850073;945269;1023056
"2019-12-27 00:00:00";864288;952314;1026618
"2019-12-28 00:00:00";845746;916939;1003605
"2019-12-29 00:00:00";801595;865606;965432
"2019-12-30 00:00:00";775167;836165;920078
"2019-12-31 00:00:00";788224;853492;906743
"2020-01-01 00:00:00";796603;868333;922000
"2020-01-02 00:00:00";791592;861024;925250
"2020-01-03 00:00:00";781492;848565;921766
"2020-01-04 00:00:00";736207;810590;881873
"2020-01-05 00:00:00";712350;801674;871870
"2020-01-06 00:00:00";715663;805824;883034
"2020-01-07 00:00:00";730808;822186;893825
"2020-01-08 00:00:00";730125;823602;908481
"2020-01-09 00:00:00";746639;836607;918426
"2020-01-10 00:00:00";778836;875716;946938
"2020-01-11 00:00:00";786966;877709;968413
"2020-01-12 00:00:00";779655;871573;939707
"2020-01-13 00:00:00";795967;883765;951265
"2020-01-14 00:00:00";799288;895023;971872
"2020-01-15 00:00:00";801623;908148;981362
"2020-01-16 00:00:00";818397;917500;1008870
"2020-01-17 00:00:00";814349;915321;998604
"2020-01-18 00:00:00";814732;913218;1022486
"2020-01-19 00:00:00";811015;905654;1027133
"2020-01-20 00:00:00";815931;916524;1011900
"2020-01-21 00:00:00";821254;924481;1016442
"2020-01-22 00:00:00";817968;921897;1024712
"2020-01-23 00:00:00";821922;928375;1035421
"2020-01-24 00:00:00";827623;926641;1043028
"2020-01-25 00:00:00";816295;908013;1016871
"2020-01-26 00:00:00";796510;895640;1006860
"2020-01-27 00:00:00";798741;901388;1000756
"2020-01-28 00:00:00";796709;902304;1004408
"2020-01-29 00:00:00";785127;888316;999524
"2020-01-30 00:00:00";774345;883808;987071
"2020-01-31 00:00:00";771903;878963;968365
"2020-02-01 00:00:00";784417;895206;998429
"2020-02-02 00:00:00";775460;887662;997351
"2020-02-03 00:00:00";779836;893543;996822
"2020-02-04 00:00:00";777321;889671;995049
"2020-02-05 00:00:00";773440;892939;996973
"2020-02-06 00:00:00";782208;904219;1014730
"2020-02-07 00:00:00";785216;906904;1020725
"2020-02-08 00:00:00";770222;896952;1017630
"2020-02-09 00:00:00";760844;885864;1007027
