"DateTime";"Cross";"PC"
"2022-09-22 00:00:00";160000;0
"2022-09-23 00:00:00";160000;160000
"2022-09-24 00:00:00";160000;160000
"2022-09-25 00:00:00";160000;160000
"2022-09-26 00:00:00";258104;222087
"2022-09-27 00:00:00";373275;350771
"2022-09-28 00:00:00";392540;405000
"2022-09-29 00:00:00";405551;425178
"2022-09-30 00:00:00";374387;420326
"2022-10-01 00:00:00";415076;447438
"2022-10-02 00:00:00";468028;538133
"2022-10-03 00:00:00";518660;594958
"2022-10-04 00:00:00";554056;631757
"2022-10-05 00:00:00";552954;628676
"2022-10-06 00:00:00";533257;619276
"2022-10-07 00:00:00";485160;585167
"2022-10-08 00:00:00";464660;570741
"2022-10-09 00:00:00";451333;578404
"2022-10-10 00:00:00";472404;601222
"2022-10-11 00:00:00";484597;614383
"2022-10-12 00:00:00";478972;604552
"2022-10-13 00:00:00";437917;575416
"2022-10-14 00:00:00";450847;586524
"2022-10-15 00:00:00";470528;608540
"2022-10-16 00:00:00";478838;623951
"2022-10-17 00:00:00";483035;626086
"2022-10-18 00:00:00";488000;636796
"2022-10-19 00:00:00";486451;630076
"2022-10-20 00:00:00";487819;633373
"2022-10-21 00:00:00";487021;631500
"2022-10-22 00:00:00";481938;635424
"2022-10-23 00:00:00";476734;634089
"2022-10-24 00:00:00";477569;637746
"2022-10-25 00:00:00";492840;659361
"2022-10-26 00:00:00";491396;662919
"2022-10-27 00:00:00";493979;667203
"2022-10-28 00:00:00";496382;670181
"2022-10-29 00:00:00";465479;638629
"2022-10-30 00:00:00";427338;587213
"2022-10-31 00:00:00";415090;592779
"2022-11-01 00:00:00";422118;587980
"2022-11-02 00:00:00";415875;577019
"2022-11-03 00:00:00";400785;553518
"2022-11-04 00:00:00";390646;537773
"2022-11-05 00:00:00";340611;461020
"2022-11-06 00:00:00";324347;446104
"2022-11-07 00:00:00";316104;428388
"2022-11-08 00:00:00";324764;434262
"2022-11-09 00:00:00";292722;401140
"2022-11-10 00:00:00";283077;380155
"2022-11-11 00:00:00";276701;383434
"2022-11-12 00:00:00";260444;390651
"2022-11-13 00:00:00";249106;388167
"2022-11-14 00:00:00";217625;367629
"2022-11-15 00:00:00";200146;348020
"2022-11-16 00:00:00";187861;302968
"2022-11-17 00:00:00";160167;222176
"2022-11-18 00:00:00";162063;226200
"2022-11-19 00:00:00";162706;223653
"2022-11-20 00:00:00";161427;219750
"2022-11-21 00:00:00";160000;207618
"2022-11-22 00:00:00";160000;212180
"2022-11-23 00:00:00";139382;194057
"2022-11-24 00:00:00";118472;159298
"2022-11-25 00:00:00";108747;151951
"2022-11-26 00:00:00";90260;115482
"2022-11-27 00:00:00";87590;110763
"2022-11-28 00:00:00";86217;110783
"2022-11-29 00:00:00";93313;120750
"2022-11-30 00:00:00";94128;123833
"2022-12-01 00:00:00";95212;124987
"2022-12-02 00:00:00";93336;122571
"2022-12-03 00:00:00";86753;110691
"2022-12-04 00:00:00";85226;109079
"2022-12-05 00:00:00";83188;106955
"2022-12-06 00:00:00";83052;105086
"2022-12-07 00:00:00";82153;105656
"2022-12-08 00:00:00";83622;107161
"2022-12-09 00:00:00";85322;109024
"2022-12-10 00:00:00";81028;104123
"2022-12-11 00:00:00";82451;105902
"2022-12-12 00:00:00";83018;110346
"2022-12-13 00:00:00";78444;104354
"2022-12-14 00:00:00";78632;105167
"2022-12-15 00:00:00";78976;105280
"2022-12-16 00:00:00";78069;103529
"2022-12-17 00:00:00";75882;98560
"2022-12-18 00:00:00";75441;99444
"2022-12-19 00:00:00";64056;83138
"2022-12-20 00:00:00";64297;84281
"2022-12-21 00:00:00";63857;83136
"2022-12-22 00:00:00";66025;85660
"2022-12-23 00:00:00";68080;89895
"2022-12-24 00:00:00";69538;92587
"2022-12-25 00:00:00";75156;96106
"2022-12-26 00:00:00";77208;99364
"2022-12-27 00:00:00";76892;99896
"2022-12-28 00:00:00";73951;97185
"2022-12-29 00:00:00";78628;102100
"2022-12-30 00:00:00";84747;115019
"2022-12-31 00:00:00";89983;113833
"2023-01-01 00:00:00";83811;111579
"2023-01-02 00:00:00";79587;101948
"2023-01-03 00:00:00";82174;104303
"2023-01-04 00:00:00";84170;106608
"2023-01-05 00:00:00";84531;112119
"2023-01-06 00:00:00";80989;109831
"2023-01-07 00:00:00";76938;100431
"2023-01-08 00:00:00";79313;103917
"2023-01-09 00:00:00";80185;105721
"2023-01-10 00:00:00";76063;97577
"2023-01-11 00:00:00";76045;97333
"2023-01-12 00:00:00";76026;98567
"2023-01-13 00:00:00";77702;102222
"2023-01-14 00:00:00";79276;104338
"2023-01-15 00:00:00";78457;101700
"2023-01-16 00:00:00";75714;95000
"2023-01-17 00:00:00";76077;97462
"2023-01-18 00:00:00";72385;95238
"2023-01-19 00:00:00";73630;95936
"2023-01-20 00:00:00";77613;99074
"2023-01-21 00:00:00";78109;97567
"2023-01-22 00:00:00";77816;100603
"2023-01-23 00:00:00";75014;98400
"2023-01-24 00:00:00";76241;99027
"2023-01-25 00:00:00";74325;96073
"2023-01-26 00:00:00";73770;97224
"2023-01-27 00:00:00";71922;95040
"2023-01-28 00:00:00";73301;95821
"2023-01-29 00:00:00";74475;98923
"2023-01-30 00:00:00";72214;94864
"2023-01-31 00:00:00";72132;95467
"2023-02-01 00:00:00";80500;112026
"2023-02-02 00:00:00";77860;103644
"2023-02-03 00:00:00";76233;99915
"2023-02-04 00:00:00";75076;98426
"2023-02-05 00:00:00";76087;98970
"2023-02-06 00:00:00";74724;98242
"2023-02-07 00:00:00";74100;98081
"2023-02-08 00:00:00";74118;97967
"2023-02-09 00:00:00";72701;97196
"2023-02-10 00:00:00";70163;97018
"2023-02-11 00:00:00";69490;94500
"2023-02-12 00:00:00";71375;93879
"2023-02-13 00:00:00";70757;92864
"2023-02-14 00:00:00";71318;92774
"2023-02-15 00:00:00";69465;91947
"2023-02-16 00:00:00";63542;85559
"2023-02-17 00:00:00";62684;83641
"2023-02-18 00:00:00";61247;79435
"2023-02-19 00:00:00";61576;78517
"2023-02-20 00:00:00";62754;78565
"2023-02-21 00:00:00";62003;81897
"2023-02-22 00:00:00";60252;79796
"2023-02-23 00:00:00";59896;81020
"2023-02-24 00:00:00";61357;80600
"2023-02-25 00:00:00";59385;78161
"2023-02-26 00:00:00";61806;76207
"2023-02-27 00:00:00";63358;77558
"2023-02-28 00:00:00";64622;77783
"2023-03-01 00:00:00";63448;77000
"2023-03-02 00:00:00";62813;75846
"2023-03-03 00:00:00";64708;80534
"2023-03-04 00:00:00";62271;76326
"2023-03-05 00:00:00";61469;74806
"2023-03-06 00:00:00";58059;68909
"2023-03-07 00:00:00";57234;67167
"2023-03-08 00:00:00";56602;68917
"2023-03-09 00:00:00";57343;67023
"2023-03-10 00:00:00";56611;68400
"2023-03-11 00:00:00";55573;68605
"2023-03-12 00:00:00";56266;67789
"2023-03-13 00:00:00";55056;68075
"2023-03-14 00:00:00";54074;67620
"2023-03-15 00:00:00";55409;68773
"2023-03-16 00:00:00";57395;69525
"2023-03-17 00:00:00";57678;70318
"2023-03-18 00:00:00";57409;68577
"2023-03-19 00:00:00";57106;68705
"2023-03-20 00:00:00";57124;69227
"2023-03-21 00:00:00";56781;70200
"2023-03-22 00:00:00";54845;65568
"2023-03-23 00:00:00";56296;68537
"2023-03-24 00:00:00";56829;69558
"2023-03-25 00:00:00";55343;68091
"2023-03-26 00:00:00";57682;68083
"2023-03-27 00:00:00";57962;68972
"2023-03-28 00:00:00";57810;65826
"2023-03-29 00:00:00";59611;66923
"2023-03-30 00:00:00";61187;67287
"2023-03-31 00:00:00";61068;66500
"2023-04-01 00:00:00";63601;67147
"2023-04-02 00:00:00";64574;69588
"2023-04-03 00:00:00";63241;65079
"2023-04-04 00:00:00";62898;66225
"2023-04-05 00:00:00";63157;67300
"2023-04-06 00:00:00";62881;67289
"2023-04-07 00:00:00";63593;70594
"2023-04-08 00:00:00";60457;64933
"2023-04-09 00:00:00";61170;66031
"2023-04-10 00:00:00";61167;62435
"2023-04-11 00:00:00";60874;64944
"2023-04-12 00:00:00";58708;63262
"2023-04-13 00:00:00";55980;62289
"2023-04-14 00:00:00";55033;61345
"2023-04-15 00:00:00";53492;63225
"2023-04-16 00:00:00";52479;63250
"2023-04-17 00:00:00";50526;60206
"2023-04-18 00:00:00";49780;57659
"2023-04-19 00:00:00";50440;60525
"2023-04-20 00:00:00";51566;58083
"2023-04-21 00:00:00";51885;57654
"2023-04-22 00:00:00";57509;62208
"2023-04-23 00:00:00";64188;68316
"2023-04-24 00:00:00";64573;68333
"2023-04-25 00:00:00";61138;66813
"2023-04-26 00:00:00";58709;63192
"2023-04-27 00:00:00";52862;58711
"2023-04-28 00:00:00";50641;59464
"2023-04-29 00:00:00";51972;57545
"2023-04-30 00:00:00";51231;56367
"2023-05-01 00:00:00";49596;53156
"2023-05-02 00:00:00";48578;52867
"2023-05-03 00:00:00";44799;51550
"2023-05-04 00:00:00";43212;54605
"2023-05-05 00:00:00";42271;54724
"2023-05-06 00:00:00";38545;46059
"2023-05-07 00:00:00";36813;41438
"2023-05-08 00:00:00";35109;38846
"2023-05-09 00:00:00";31906;35083
"2023-05-10 00:00:00";30601;34016
"2023-05-11 00:00:00";30236;35344
"2023-05-12 00:00:00";29974;34600
