"DateTime";"XBOX";"PS";"PC"
"2020-09-30 00:00:00";0;0;0
"2020-10-01 00:00:00";0;0;0
"2020-10-02 00:00:00";1141400;1339029;1446333
"2020-10-03 00:00:00";1244526;1406680;1569308
"2020-10-04 00:00:00";1346931;1490811;1688132
"2020-10-05 00:00:00";1360097;1481404;1681364
"2020-10-06 00:00:00";1335889;1495592;1731967
"2020-10-07 00:00:00";1306034;1537962;1768583
"2020-10-08 00:00:00";1287357;1504980;1703750
"2020-10-09 00:00:00";1181500;1416152;1672226
"2020-10-10 00:00:00";1173781;1415143;1584919
"2020-10-11 00:00:00";1191412;1421981;1587314
"2020-10-12 00:00:00";1186250;1407019;1528471
"2020-10-13 00:00:00";1276237;1490904;1581000
"2020-10-14 00:00:00";1290829;1523686;1603450
"2020-10-15 00:00:00";1265364;1485451;1576343
"2020-10-16 00:00:00";1244105;1455140;1529316
"2020-10-17 00:00:00";1265075;1464783;1522800
"2020-10-18 00:00:00";1231064;1430415;1482952
"2020-10-19 00:00:00";1183596;1389765;1415905
"2020-10-20 00:00:00";1190525;1405079;1432925
"2020-10-21 00:00:00";1191125;1399147;1466622
"2020-10-22 00:00:00";1199743;1392919;1442048
"2020-10-23 00:00:00";1207200;1394340;1446938
"2020-10-24 00:00:00";1223000;1410900;1440268
"2020-10-25 00:00:00";1215500;1415324;1460660
"2020-10-26 00:00:00";1209381;1411652;1483204
"2020-10-27 00:00:00";1229872;1417987;1493264
"2020-10-28 00:00:00";1234094;1423844;1505467
"2020-10-29 00:00:00";1287125;1471323;1538756
"2020-10-30 00:00:00";1266000;1495743;1559000
"2020-10-31 00:00:00";1261771;1485261;1569282
"2020-11-01 00:00:00";1230773;1455027;1515133
"2020-11-02 00:00:00";1232917;1474773;1530347
"2020-11-03 00:00:00";1255114;1491264;1558612
"2020-11-04 00:00:00";1261571;1490091;1540686
"2020-11-05 00:00:00";1278821;1504292;1564838
"2020-11-06 00:00:00";1270776;1489500;1558907
"2020-11-07 00:00:00";1270725;1494952;1578640
"2020-11-08 00:00:00";1236418;1465376;1553393
"2020-11-09 00:00:00";1211563;1464236;1548917
"2020-11-10 00:00:00";1218589;1467558;1544644
"2020-11-11 00:00:00";1232622;1479514;1539114
"2020-11-12 00:00:00";1238800;1488988;1552163
"2020-11-13 00:00:00";1216074;1476134;1530472
"2020-11-14 00:00:00";1140280;1394467;1450238
"2020-11-15 00:00:00";1073263;1340521;1367571
"2020-11-16 00:00:00";1050846;1319583;1367725
"2020-11-17 00:00:00";1072886;1334734;1391522
"2020-11-18 00:00:00";1065424;1333512;1389692
"2020-11-19 00:00:00";1073333;1339407;1390820
"2020-11-20 00:00:00";1085436;1351840;1396614
"2020-11-21 00:00:00";1086179;1346677;1393530
"2020-11-22 00:00:00";1063521;1326411;1390363
"2020-11-23 00:00:00";1061443;1342269;1396635
"2020-11-24 00:00:00";1060663;1352432;1404709
"2020-11-25 00:00:00";1048574;1349367;1401689
"2020-11-26 00:00:00";1051643;1357238;1406184
"2020-11-27 00:00:00";1083823;1391430;1433398
"2020-11-28 00:00:00";1116213;1419182;1465576
"2020-11-29 00:00:00";1092262;1398488;1447508
"2020-11-30 00:00:00";1093656;1395859;1445491
"2020-12-01 00:00:00";1098324;1396786;1442087
"2020-12-02 00:00:00";1102795;1395910;1448214
"2020-12-03 00:00:00";1099011;1381989;1418159
"2020-12-04 00:00:00";1096071;1352261;1409824
"2020-12-05 00:00:00";996611;1231152;1314212
"2020-12-06 00:00:00";947434;1173811;1219865
"2020-12-07 00:00:00";909466;1154145;1188529
"2020-12-08 00:00:00";907384;1162757;1181788
"2020-12-09 00:00:00";903519;1161989;1176163
"2020-12-10 00:00:00";907114;1170351;1187836
"2020-12-11 00:00:00";883904;1146622;1159272
"2020-12-12 00:00:00";875431;1147302;1159127
"2020-12-13 00:00:00";842196;1117613;1149939
"2020-12-14 00:00:00";825111;1110163;1131670
"2020-12-15 00:00:00";814021;1097048;1148313
"2020-12-16 00:00:00";827057;1106902;1147122
"2020-12-17 00:00:00";839837;1123194;1165574
"2020-12-18 00:00:00";847780;1120653;1176598
"2020-12-19 00:00:00";819103;1077766;1155178
"2020-12-20 00:00:00";788175;1023651;1123235
"2020-12-21 00:00:00";786407;1016953;1092327
"2020-12-22 00:00:00";766735;995604;1074938
"2020-12-23 00:00:00";790011;1010594;1084352
"2020-12-24 00:00:00";797930;1019202;1106735
"2020-12-25 00:00:00";800889;1018255;1108642
"2020-12-26 00:00:00";794760;997664;1093477
"2020-12-27 00:00:00";772808;974927;1067881
"2020-12-28 00:00:00";755933;928187;1037917
"2020-12-29 00:00:00";748762;925734;1034308
"2020-12-30 00:00:00";747587;937644;1037978
"2020-12-31 00:00:00";752174;936476;1055153
"2021-01-01 00:00:00";750793;932663;1052989
"2021-01-02 00:00:00";739039;930649;1038507
"2021-01-03 00:00:00";719069;908094;1016769
"2021-01-04 00:00:00";708897;904654;1013137
"2021-01-05 00:00:00";713057;912010;1026245
"2021-01-06 00:00:00";705457;901038;1016745
"2021-01-07 00:00:00";713356;906583;1029060
"2021-01-08 00:00:00";734000;920369;1053591
"2021-01-09 00:00:00";716716;906793;1022942
"2021-01-10 00:00:00";694465;884698;1005080
"2021-01-11 00:00:00";676519;872121;983728
"2021-01-12 00:00:00";679233;877595;982443
"2021-01-13 00:00:00";691396;886155;996708
"2021-01-14 00:00:00";703238;896269;1008350
"2021-01-15 00:00:00";712648;902266;1015510
"2021-01-16 00:00:00";699980;887514;994951
"2021-01-17 00:00:00";668686;855327;973160
"2021-01-18 00:00:00";653990;838562;952644
"2021-01-19 00:00:00";661305;846067;960235
"2021-01-20 00:00:00";663309;861706;974495
"2021-01-21 00:00:00";670030;869764;985530
