"DateTime";"Cross";"PC"
"2022-09-22 00:00:00";831833;0
"2022-09-23 00:00:00";884664;698314
"2022-09-24 00:00:00";1133944;588311
"2022-09-25 00:00:00";1445571;690912
"2022-09-26 00:00:00";1484302;972552
"2022-09-27 00:00:00";1512559;1611313
"2022-09-28 00:00:00";1555784;1580889
"2022-09-29 00:00:00";1624081;1611000
"2022-09-30 00:00:00";1540711;1520200
"2022-10-01 00:00:00";1552430;1518250
"2022-10-02 00:00:00";1592407;1536074
"2022-10-03 00:00:00";1668541;1586346
"2022-10-04 00:00:00";1728245;1670833
"2022-10-05 00:00:00";1726209;1711389
"2022-10-06 00:00:00";1654288;1692813
"2022-10-07 00:00:00";1560844;1630353
"2022-10-08 00:00:00";1495692;1575389
"2022-10-09 00:00:00";1454000;1577476
"2022-10-10 00:00:00";1495470;1615421
"2022-10-11 00:00:00";1515846;1629278
"2022-10-12 00:00:00";1478369;1600176
"2022-10-13 00:00:00";1371042;1529605
"2022-10-14 00:00:00";1322188;1447659
"2022-10-15 00:00:00";1323229;1433114
"2022-10-16 00:00:00";1320014;1432302
"2022-10-17 00:00:00";1338624;1447896
"2022-10-18 00:00:00";1386517;1473556
"2022-10-19 00:00:00";1391175;1495080
"2022-10-20 00:00:00";1400399;1494978
"2022-10-21 00:00:00";1410182;1501868
"2022-10-22 00:00:00";1412937;1518444
"2022-10-23 00:00:00";1409847;1518491
"2022-10-24 00:00:00";1425142;1531510
"2022-10-25 00:00:00";1479889;1576643
"2022-10-26 00:00:00";1497979;1606243
"2022-10-27 00:00:00";1509354;1617891
"2022-10-28 00:00:00";1509757;1614754
"2022-10-29 00:00:00";1489076;1597810
"2022-10-30 00:00:00";1474428;1584796
"2022-10-31 00:00:00";1479014;1582827
"2022-11-01 00:00:00";1496063;1591364
"2022-11-02 00:00:00";1476111;1563387
"2022-11-03 00:00:00";1484056;1541000
"2022-11-04 00:00:00";1463091;1485869
"2022-11-05 00:00:00";1328229;1325703
"2022-11-06 00:00:00";1272403;1269234
"2022-11-07 00:00:00";1253639;1240606
"2022-11-08 00:00:00";1270944;1241228
"2022-11-09 00:00:00";1242604;1207198
"2022-11-10 00:00:00";1184660;1173621
"2022-11-11 00:00:00";1184127;1200407
"2022-11-12 00:00:00";1175403;1193797
"2022-11-13 00:00:00";1126132;1156898
"2022-11-14 00:00:00";1046923;1108710
"2022-11-15 00:00:00";1073119;1118090
"2022-11-16 00:00:00";1131979;1186729
"2022-11-17 00:00:00";1180285;1247744
"2022-11-18 00:00:00";1169639;1255761
"2022-11-19 00:00:00";1115292;1201000
"2022-11-20 00:00:00";1075500;1155165
"2022-11-21 00:00:00";1064583;1132610
"2022-11-22 00:00:00";1065695;1145231
"2022-11-23 00:00:00";1057632;1134606
"2022-11-24 00:00:00";999792;1092851
"2022-11-25 00:00:00";1034146;1145241
"2022-11-26 00:00:00";1053292;1166000
"2022-11-27 00:00:00";1023014;1132594
"2022-11-28 00:00:00";1017667;1127612
"2022-11-29 00:00:00";1039688;1143300
"2022-11-30 00:00:00";1053215;1167404
"2022-12-01 00:00:00";1061063;1178257
"2022-12-02 00:00:00";1055938;1171514
"2022-12-03 00:00:00";1033375;1147322
"2022-12-04 00:00:00";1028986;1150883
"2022-12-05 00:00:00";1042771;1165035
"2022-12-06 00:00:00";1053566;1181887
"2022-12-07 00:00:00";1059549;1184526
"2022-12-08 00:00:00";1051201;1186795
"2022-12-09 00:00:00";1038063;1188082
"2022-12-10 00:00:00";1021500;1168207
"2022-12-11 00:00:00";993785;1149432
"2022-12-12 00:00:00";964236;1127533
"2022-12-13 00:00:00";983153;1156041
"2022-12-14 00:00:00";991514;1170609
"2022-12-15 00:00:00";990583;1168602
"2022-12-16 00:00:00";992701;1180041
